run_dir,date_dir,scenario_guess,log_files_top_level,csv_files_recursive,png_files_recursive,avg_prr,avg_latency_ms,incident_applied_count,sionna_mentioned,in_chatgpt_exports,eva_drop_phy_total,eva_cam_drop_phy,eva_cpm_drop_phy,eva_ctrl_events_total,eva_drop_decision_match_ratio
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-19/batch-main-161949/eva-loss-sweep-incident-v2/drop_0p4,eva-loss-sweep-incident-v2,v2v-emergencyVehicleAlert-nrv2x,1,55,9,0.959382,12.3455,1,0,0,0.0,0.0,0.0,0.0,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-19/batch-main-161949/eva-loss-sweep-incident-v2/drop_0p8,eva-loss-sweep-incident-v2,v2v-emergencyVehicleAlert-nrv2x,1,55,9,0.959371,12.2585,1,0,0,0.0,0.0,0.0,0.0,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/chatgpt_exports/2026-02-19/batch-main-161949/eva-loss-sweep-incident-v2/drop_0p0,eva-loss-sweep-incident-v2,v2v-emergencyVehicleAlert-nrv2x,1,3,4,0.959643,12.3156,1,0,1,,,,,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/chatgpt_exports/2026-02-19/batch-main-161949/eva-loss-sweep-incident-v2/drop_0p4,eva-loss-sweep-incident-v2,v2v-emergencyVehicleAlert-nrv2x,1,3,4,0.959382,12.3455,1,0,1,,,,,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/chatgpt_exports/2026-02-19/batch-main-161949/eva-loss-sweep-incident-v2/drop_0p8,eva-loss-sweep-incident-v2,v2v-emergencyVehicleAlert-nrv2x,1,3,4,0.959371,12.2585,1,0,1,,,,,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-21/eva-penetration-check-131436/pr_0p0,eva-penetration-check-131436,v2v-emergencyVehicleAlert-nrv2x,1,2,1,0.0,0.0,0,0,0,,,,,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-21/eva-penetration-check-131436/pr_1p0,eva-penetration-check-131436,v2v-emergencyVehicleAlert-nrv2x,1,14,1,0.901786,11.7955,0,0,0,0.0,0.0,0.0,0.0,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-21/eva-penetration-check2-131712/pr_1p0,eva-penetration-check2-131712,v2v-emergencyVehicleAlert-nrv2x,1,35,1,0.768661,10.9263,0,0,0,0.0,0.0,0.0,0.0,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-19/eva-phy-sweep-smoke/drop_0p0,eva-phy-sweep-smoke,v2v-emergencyVehicleAlert-nrv2x,1,44,1,0.44898,9.98149,0,0,0,0.0,0.0,0.0,0.0,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-19/eva-phy-sweep-smoke/drop_0p8,eva-phy-sweep-smoke,v2v-emergencyVehicleAlert-nrv2x,1,44,1,0.0982993,9.0706,0,0,0,0.0,0.0,0.0,0.0,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-21/eva-platoon-collision-proof-130644/baseline,eva-platoon-collision-proof-130644,v2v-emergencyVehicleAlert-nrv2x,1,15,4,0.980846,12.2636,1,0,0,0.0,0.0,0.0,0.0,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-21/eva-platoon-collision-proof-130644/lossy,eva-platoon-collision-proof-130644,v2v-emergencyVehicleAlert-nrv2x,1,15,3,0.461779,13.7338,1,0,0,0.0,0.0,0.0,0.0,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-21/eva-platoon-collision-proof2-131043/baseline,eva-platoon-collision-proof2-131043,v2v-emergencyVehicleAlert-nrv2x,1,15,4,0.968384,10.8415,1,0,0,0.0,0.0,0.0,0.0,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-21/eva-platoon-collision-proof2-131043/lossy,eva-platoon-collision-proof2-131043,v2v-emergencyVehicleAlert-nrv2x,1,15,4,0.505687,11.5153,1,0,0,0.0,0.0,0.0,0.0,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-21/eva-platoon-collision-proof3-131815/baseline,eva-platoon-collision-proof3-131815,v2v-emergencyVehicleAlert-nrv2x,1,46,9,0.901954,11.3007,1,0,0,0.0,0.0,0.0,0.0,
/home/afetz/work/clean/NEWWAY/analysis/scenario_runs/2026-02-21/eva-platoon-collision-proof3-131815/lossy,eva-platoon-collision-proof3-131815,v2v-emergencyVehicleAlert-nrv2x,1,46,9,0.624577,11.8773,1,0,0,0.0,0.0,0.0,0.0,
